"id","calendar_date","week_day","holiday"
46724,2018-01-01,Monday,1
46725,2018-01-02,Tuesday,0
46726,2018-01-03,Wednesday,0
46727,2018-01-04,Thursday,0
46728,2018-01-05,Friday,0
46729,2018-01-06,Saturday,0
46730,2018-01-07,Sunday,0
46731,2018-01-08,Monday,0
46732,2018-01-09,Tuesday,0
46733,2018-01-10,Wednesday,0
46734,2018-01-11,Thursday,0
46735,2018-01-12,Friday,0
46736,2018-01-13,Saturday,0
46737,2018-01-14,Sunday,0
46738,2018-01-15,Monday,0
46739,2018-01-16,Tuesday,0
46740,2018-01-17,Wednesday,0
46741,2018-01-18,Thursday,0
46742,2018-01-19,Friday,0
46743,2018-01-20,Saturday,0
46744,2018-01-21,Sunday,0
46745,2018-01-22,Monday,0
46746,2018-01-23,Tuesday,0
46747,2018-01-24,Wednesday,0
46748,2018-01-25,Thursday,0
46749,2018-01-26,Friday,0
46750,2018-01-27,Saturday,0
46751,2018-01-28,Sunday,0
46752,2018-01-29,Monday,0
46753,2018-01-30,Tuesday,0
46754,2018-01-31,Wednesday,0
46755,2018-02-01,Thursday,0
46756,2018-02-02,Friday,0
46757,2018-02-03,Saturday,0
46758,2018-02-04,Sunday,0
46759,2018-02-05,Monday,0
46760,2018-02-06,Tuesday,0
46761,2018-02-07,Wednesday,0
46762,2018-02-08,Thursday,0
46763,2018-02-09,Friday,0
46764,2018-02-10,Saturday,0
46765,2018-02-11,Sunday,0
46766,2018-02-12,Monday,0
46767,2018-02-13,Tuesday,1
46768,2018-02-14,Wednesday,0
46769,2018-02-15,Thursday,0
46770,2018-02-16,Friday,0
46771,2018-02-17,Saturday,0
46772,2018-02-18,Sunday,0
46773,2018-02-19,Monday,0
46774,2018-02-20,Tuesday,0
46775,2018-02-21,Wednesday,0
46776,2018-02-22,Thursday,0
46777,2018-02-23,Friday,0
46778,2018-02-24,Saturday,0
46779,2018-02-25,Sunday,0
46780,2018-02-26,Monday,0
46781,2018-02-27,Tuesday,0
46782,2018-02-28,Wednesday,0
46783,2018-03-01,Thursday,0
46784,2018-03-02,Friday,0
46785,2018-03-03,Saturday,0
46786,2018-03-04,Sunday,0
46787,2018-03-05,Monday,0
46788,2018-03-06,Tuesday,0
46789,2018-03-07,Wednesday,0
46790,2018-03-08,Thursday,0
46791,2018-03-09,Friday,0
46792,2018-03-10,Saturday,0
46793,2018-03-11,Sunday,0
46794,2018-03-12,Monday,0
46795,2018-03-13,Tuesday,0
46796,2018-03-14,Wednesday,0
46797,2018-03-15,Thursday,0
46798,2018-03-16,Friday,0
46799,2018-03-17,Saturday,0
46800,2018-03-18,Sunday,0
46801,2018-03-19,Monday,0
46802,2018-03-20,Tuesday,0
46803,2018-03-21,Wednesday,0
46804,2018-03-22,Thursday,0
46805,2018-03-23,Friday,0
46806,2018-03-24,Saturday,0
46807,2018-03-25,Sunday,0
46808,2018-03-26,Monday,0
46809,2018-03-27,Tuesday,0
46810,2018-03-28,Wednesday,0
46811,2018-03-29,Thursday,0
46812,2018-03-30,Friday,1
46813,2018-03-31,Saturday,0
46814,2018-04-01,Sunday,1
46815,2018-04-02,Monday,0
46816,2018-04-03,Tuesday,0
46817,2018-04-04,Wednesday,0
46818,2018-04-05,Thursday,0
46819,2018-04-06,Friday,0
46820,2018-04-07,Saturday,0
46821,2018-04-08,Sunday,0
46822,2018-04-09,Monday,0
46823,2018-04-10,Tuesday,0
46824,2018-04-11,Wednesday,0
46825,2018-04-12,Thursday,0
46826,2018-04-13,Friday,0
46827,2018-04-14,Saturday,0
46828,2018-04-15,Sunday,0
46829,2018-04-16,Monday,0
46830,2018-04-17,Tuesday,0
46831,2018-04-18,Wednesday,0
46832,2018-04-19,Thursday,0
46833,2018-04-20,Friday,0
46834,2018-04-21,Saturday,1
46835,2018-04-22,Sunday,0
46836,2018-04-23,Monday,0
46837,2018-04-24,Tuesday,0
46838,2018-04-25,Wednesday,0
46839,2018-04-26,Thursday,0
46840,2018-04-27,Friday,0
46841,2018-04-28,Saturday,0
46842,2018-04-29,Sunday,0
46843,2018-04-30,Monday,0
46844,2018-05-01,Tuesday,1
46845,2018-05-02,Wednesday,0
46846,2018-05-03,Thursday,0
46847,2018-05-04,Friday,0
46848,2018-05-05,Saturday,0
46849,2018-05-06,Sunday,0
46850,2018-05-07,Monday,0
46851,2018-05-08,Tuesday,0
46852,2018-05-09,Wednesday,0
46853,2018-05-10,Thursday,0
46854,2018-05-11,Friday,0
46855,2018-05-12,Saturday,0
46856,2018-05-13,Sunday,0
46857,2018-05-14,Monday,0
46858,2018-05-15,Tuesday,0
46859,2018-05-16,Wednesday,0
46860,2018-05-17,Thursday,0
46861,2018-05-18,Friday,0
46862,2018-05-19,Saturday,0
46863,2018-05-20,Sunday,0
46864,2018-05-21,Monday,0
46865,2018-05-22,Tuesday,0
46866,2018-05-23,Wednesday,0
46867,2018-05-24,Thursday,0
46868,2018-05-25,Friday,0
46869,2018-05-26,Saturday,0
46870,2018-05-27,Sunday,0
46871,2018-05-28,Monday,0
46872,2018-05-29,Tuesday,0
46873,2018-05-30,Wednesday,0
46874,2018-05-31,Thursday,1
46875,2018-06-01,Friday,0
46876,2018-06-02,Saturday,0
46877,2018-06-03,Sunday,0
46878,2018-06-04,Monday,0
46879,2018-06-05,Tuesday,0
46880,2018-06-06,Wednesday,0
46881,2018-06-07,Thursday,0
46882,2018-06-08,Friday,0
46883,2018-06-09,Saturday,0
46884,2018-06-10,Sunday,0
46885,2018-06-11,Monday,0
46886,2018-06-12,Tuesday,0
46887,2018-06-13,Wednesday,0
46888,2018-06-14,Thursday,0
46889,2018-06-15,Friday,0
46890,2018-06-16,Saturday,0
46891,2018-06-17,Sunday,0
46892,2018-06-18,Monday,0
46893,2018-06-19,Tuesday,0
46894,2018-06-20,Wednesday,0
46895,2018-06-21,Thursday,0
46896,2018-06-22,Friday,0
46897,2018-06-23,Saturday,0
46898,2018-06-24,Sunday,0
46899,2018-06-25,Monday,0
46900,2018-06-26,Tuesday,0
46901,2018-06-27,Wednesday,0
46902,2018-06-28,Thursday,0
46903,2018-06-29,Friday,0
46904,2018-06-30,Saturday,0
46905,2018-07-01,Sunday,0
46906,2018-07-02,Monday,0
46907,2018-07-03,Tuesday,0
46908,2018-07-04,Wednesday,0
46909,2018-07-05,Thursday,0
46910,2018-07-06,Friday,0
46911,2018-07-07,Saturday,1
46912,2018-07-08,Sunday,0
46913,2018-07-09,Monday,0
46914,2018-07-10,Tuesday,0
46915,2018-07-11,Wednesday,0
46916,2018-07-12,Thursday,0
46917,2018-07-13,Friday,0
46918,2018-07-14,Saturday,0
46919,2018-07-15,Sunday,0
46920,2018-07-16,Monday,0
46921,2018-07-17,Tuesday,0
46922,2018-07-18,Wednesday,0
46923,2018-07-19,Thursday,0
46924,2018-07-20,Friday,0
46925,2018-07-21,Saturday,0
46926,2018-07-22,Sunday,0
46927,2018-07-23,Monday,0
46928,2018-07-24,Tuesday,0
46929,2018-07-25,Wednesday,0
46930,2018-07-26,Thursday,0
46931,2018-07-27,Friday,0
46932,2018-07-28,Saturday,0
46933,2018-07-29,Sunday,0
46934,2018-07-30,Monday,0
46935,2018-07-31,Tuesday,0
46936,2018-08-01,Wednesday,0
46937,2018-08-02,Thursday,0
46938,2018-08-03,Friday,0
46939,2018-08-04,Saturday,0
46940,2018-08-05,Sunday,0
46941,2018-08-06,Monday,0
46942,2018-08-07,Tuesday,0
